epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,11976.2,1.57643,1.21113,0.99701,0.42572,0.30402,0.29613,0.1686,1.42117,1.07088,0.95012,0.005545,0.005545,0.005545
92,12084.3,1.57341,1.20581,0.99627,0.4229,0.30756,0.29738,0.16929,1.41937,1.06962,0.94995,0.0054955,0.0054955,0.0054955
93,12193,1.57135,1.20146,0.9964,0.42345,0.30636,0.29887,0.17023,1.4184,1.06739,0.9495,0.005446,0.005446,0.005446
94,12299.7,1.57307,1.20785,0.99457,0.42335,0.3058,0.29888,0.17049,1.41776,1.06588,0.94951,0.0053965,0.0053965,0.0053965
95,12406.9,1.57322,1.20424,0.99481,0.41757,0.3117,0.29961,0.17067,1.41693,1.06569,0.94893,0.005347,0.005347,0.005347
96,12514.1,1.56934,1.20066,0.99455,0.41884,0.30901,0.29952,0.17112,1.4156,1.06449,0.94851,0.0052975,0.0052975,0.0052975
97,12621.7,1.5669,1.20155,0.99418,0.42187,0.30742,0.29925,0.17119,1.41522,1.0628,0.9486,0.005248,0.005248,0.005248
98,12726.7,1.564,1.19721,0.9976,0.41585,0.30984,0.29999,0.17174,1.41464,1.06237,0.94788,0.0051985,0.0051985,0.0051985
99,12833.3,1.5671,1.19956,0.99316,0.42288,0.30992,0.30072,0.1719,1.41414,1.0617,0.94794,0.005149,0.005149,0.005149
100,12940.3,1.56254,1.19433,0.99218,0.41688,0.31102,0.30061,0.17197,1.41355,1.06225,0.94752,0.0050995,0.0050995,0.0050995
101,13049.2,1.55442,1.19263,0.99313,0.41378,0.31147,0.30092,0.17228,1.41285,1.06068,0.94726,0.00505,0.00505,0.00505
102,13156.5,1.56068,1.19606,0.99401,0.4161,0.31029,0.30122,0.17234,1.41228,1.05948,0.9472,0.0050005,0.0050005,0.0050005
103,13266,1.55519,1.18928,0.99215,0.42126,0.31015,0.30143,0.17237,1.41138,1.05924,0.94734,0.004951,0.004951,0.004951
104,13375.8,1.55594,1.18589,0.98959,0.42146,0.31017,0.30237,0.1732,1.41011,1.058,0.9469,0.0049015,0.0049015,0.0049015
105,13482.6,1.56,1.18718,0.99251,0.42227,0.31151,0.30268,0.17339,1.40943,1.05661,0.94635,0.004852,0.004852,0.004852
106,13591.7,1.55741,1.18676,0.9907,0.4229,0.31186,0.30342,0.17349,1.40941,1.05566,0.94594,0.0048025,0.0048025,0.0048025
107,13700.5,1.55698,1.18756,0.98937,0.42455,0.31346,0.3042,0.17406,1.40838,1.05348,0.94581,0.004753,0.004753,0.004753
108,13810.1,1.54981,1.18893,0.99164,0.42802,0.3126,0.30476,0.17456,1.40741,1.05244,0.94585,0.0047035,0.0047035,0.0047035
