epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
172,22288.5,1.50684,1.12692,0.97564,0.42873,0.32291,0.3141,0.18017,1.39058,1.03434,0.93942,0.0015355,0.0015355,0.0015355
173,22407.5,1.50286,1.12057,0.97325,0.4295,0.32312,0.31418,0.18015,1.39034,1.03408,0.93933,0.001486,0.001486,0.001486
174,22526.2,1.50464,1.11968,0.97171,0.42858,0.32314,0.31435,0.18026,1.39018,1.03381,0.93926,0.0014365,0.0014365,0.0014365
175,22643.9,1.50196,1.12183,0.97412,0.43039,0.32269,0.31448,0.18038,1.39003,1.03356,0.93921,0.001387,0.001387,0.001387
176,22761.5,1.50838,1.12316,0.97335,0.43055,0.32271,0.31461,0.18048,1.38991,1.03333,0.93916,0.0013375,0.0013375,0.0013375
177,22878.1,1.50732,1.12027,0.97278,0.43066,0.32298,0.31467,0.18058,1.38971,1.03308,0.93909,0.001288,0.001288,0.001288
178,22993.3,1.49375,1.10907,0.97121,0.43223,0.32233,0.31475,0.18057,1.38973,1.03287,0.93904,0.0012385,0.0012385,0.0012385
179,23110.3,1.5004,1.11729,0.97189,0.42867,0.32418,0.315,0.18072,1.38949,1.03266,0.93899,0.001189,0.001189,0.001189
180,23225,1.49962,1.11718,0.97214,0.42895,0.32442,0.31511,0.18076,1.38935,1.03247,0.93894,0.0011395,0.0011395,0.0011395
181,23340,1.49445,1.11444,0.97178,0.43069,0.32403,0.31517,0.18084,1.38918,1.03218,0.93888,0.00109,0.00109,0.00109
182,23455.8,1.5017,1.11202,0.96903,0.43044,0.3242,0.31524,0.18088,1.38908,1.03196,0.93882,0.0010405,0.0010405,0.0010405
183,23572.6,1.49981,1.11831,0.97205,0.43025,0.32435,0.31537,0.18093,1.38888,1.03176,0.93875,0.000991,0.000991,0.000991
